ShipsName=Teleost,,,,,,,,,,
CruiseNumber=TEL2024880,,,,,,,,,,
Analyst=Diana Cardoso,,,,,,,,,,
SalinometerSerialNumber=71418,,,,,,,,,,
Sample ID,Bottle Label,DateTime,Bath Temperature,Uncorrected Ratio,Uncorrected Ratio StandDev,Correction,Adjusted Ratio,Calculated Salinity,Calculated Salinity StandDev,Comments
08#32,503927,4/30/2024 19:33,24C,0.977483273,8.15E-07,-1.97E-06,0.977481306,34.11545181,3.00E-05,NA
08#33,503936,4/30/2024 19:39,24C,0.865104496,1.46E-06,-2.03E-06,0.86510247,29.75506592,5.71E-05,NA
08#34,503939,4/30/2024 19:44,24C,0.924605668,2.12E-08,-2.03E-06,0.924603641,32.05253983,0,NA
08#35,503945,4/30/2024 19:49,24C,0.864503682,2.23E-06,-2.03E-06,0.864501655,29.73199463,8.57E-05,NA
08#36,503014,4/30/2024 19:56,24C,0.946050584,1.46E-06,-2.09E-06,0.946048498,32.88676834,5.65E-05,NA
08#37,503015,4/30/2024 20:03,24C,0.899073601,2.19E-06,-2.03E-06,0.899071574,31.06358719,8.51E-05,NA
08#38,503015,4/30/2024 20:06,24C,0.899052441,1.20E-06,-2.03E-06,0.899050415,31.06276703,4.59E-05,NA
08#39,503016,4/30/2024 20:11,24C,0.895876408,1.06E-06,-2.15E-06,0.895874262,30.94007301,4.23E-05,NA
08#40,503017,4/30/2024 20:17,24C,0.898598671,1.48E-06,-2.09E-06,0.898596585,31.04522896,5.65E-05,NA
09#1,503957,5/1/2024 10:34,24C,0.891388297,1.59E-06,-1.00E-05,0.891378284,30.76651001,6.18E-05,NA
09#2,503949,5/1/2024 10:40,24C,0.963787854,1.24E-06,-1.00E-05,0.96377784,33.57893753,4.79E-05,NA
